iter	Logloss
0	0.6895681327
1	0.6855666678
2	0.6812956892
3	0.6773380824
4	0.6733370972
5	0.6698312378
6	0.6663388933
7	0.6630298723
8	0.660425415
9	0.6570789882
10	0.6536949376
11	0.650334647
12	0.6469911412
13	0.6437312971
14	0.6402591378
15	0.6372220721
16	0.6341087123
17	0.6319132778
18	0.6294399588
19	0.6262754168
20	0.6236025129
21	0.6209014021
22	0.61871521
23	0.6169467599
24	0.6143192836
25	0.6118686349
26	0.610068621
27	0.6073448399
28	0.6048369925
29	0.6019771903
30	0.5995455497
31	0.5972058541
32	0.5950864083
33	0.593472508
34	0.5911097935
35	0.5892518398
36	0.5871701922
37	0.5850691441
38	0.5833987863
39	0.5811091396
40	0.5788356236
41	0.5767104231
42	0.5748709978
43	0.5730534145
44	0.5715053013
45	0.5695792934
46	0.568294329
47	0.5668487549
48	0.5650619943
49	0.5634615653
50	0.5614199393
51	0.559916469
52	0.5579271589
53	0.5557507324
54	0.5534658813
55	0.5519966779
56	0.5503808594
57	0.5483786447
58	0.5466494315
59	0.5450594657
60	0.5439578683
61	0.5426430838
62	0.5412884521
63	0.5395854841
64	0.5384994507
65	0.5373890468
66	0.5362565395
67	0.5346209717
68	0.5331291853
69	0.5316475133
70	0.5306447056
71	0.5295605469
72	0.5286895316
73	0.5275625174
74	0.5260324533
75	0.5245266288
76	0.5232537842
77	0.5219720895
78	0.5208241926
79	0.5197623989
80	0.5181820243
81	0.5174154227
82	0.5159990583
83	0.5151432582
84	0.5141534424
85	0.5127965437
86	0.5114181955
87	0.5101477487
88	0.5090048654
89	0.5074788121
90	0.5063902065
91	0.5050800432
92	0.5041662162
93	0.5027270508
94	0.5012915039
95	0.5002507673
96	0.499612078
97	0.4985492815
98	0.4974939837
99	0.4962196132
100	0.4953110177
101	0.4944135393
102	0.4936611503
103	0.4928621129
104	0.4920611572
105	0.4909463501
106	0.4899121966
107	0.4890897914
108	0.4881335449
109	0.487350769
110	0.4863542393
111	0.4851889474
112	0.4838313511
113	0.4831866891
114	0.4818864223
115	0.4808228847
116	0.4799669974
117	0.4789525931
118	0.4783920724
119	0.477222726
120	0.4761864362
121	0.4753770229
122	0.4744788906
123	0.473525129
124	0.4724766323
125	0.4715188163
126	0.470496521
127	0.4694537789
128	0.4685125732
129	0.4678228324
130	0.4669613211
131	0.4661611938
132	0.4652151053
133	0.4645823015
